What went well?;What didn't worked?;What we should change?;What will we do?;;
Good teamwork;We created technical debt;Better team organization;Analize technical debt and create a task for solving it;;
Nice presentation and demo;Some conflicts in merging changes;Improve organization in pull requests system;As soon as we have a feature, we execute tests on it before merging it with the main branch;;
All members were present during the Sprint;In some feature we didn't do enough tests;;;;
Sprint goal achieved;;;;;
We always did the daily standups;;;;;
Good self-organized work;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
