What went well?;What didn't worked?;What we should change?;What will we do?;;
Good teamwork;We created small technical debt;More communication about newly implemented features;Analize technical debt and create a task for solving it;;
Nice presentation and demo;In a few cases the definition of done wasn't respected ;;Dedicate more time in error analysis instead of leaving everything to automated tests;;
All members were present during the Sprint;;;Dedicate more time on previous features instead of focusing only on new enhancements;;
Sprint goal achieved;;;;;
We always did the daily standups;;;;;
Good self-organized work;;;;;
Quick tackling of previous technical debt;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
